LP,Target Language Name,ISO 15924 Script,Continent,Endonym,Alternate names,Smoldoc,SmolSent,Gatitos
en_bik,Bikol,Latn,Asia,Sentral Bikol,Bicol; Bicolano,0,0,3993
en_bjn,Banjar,Latn,Asia,Banjar,Banjarese,0,0,3996
en_bjn-Arab,Banjar (Arabic script),Arab,Asia,بنجر; ڤندير بنجر,,0,0,3999
en_bm,Bambara,Latn,Africa,Bámánánkán,,260,863,4000
en_bns,Bundeli,Deva,Asia,बुन्देली,,456,0,0
en_bo,Tibetan,Tibt,Asia,བོད་མི།; བོད་ཀྱི།; བོད་སྐད།; བོད་ཡིག།,Lhasa Tibetan; Standard Tibetan; Baykha; Kham; Baykay,0,863,3994
en_br,Breton,Latn,Europe,brezhoneg,,0,0,4001
en_bra,Braj,Deva,Asia,ब्रजभाषा,,457,0,0
en_brx,Bodo (India),Deva,Asia,बोडो,Bodo; Boro,0,863,3994
en_bts,Batak Simalungun,Latn,Asia,Bahasa Simalungun,Simalungun; Simalungunese,0,0,3999
en_btx,Batak Karo,Latn,Asia,Batak Karo,Karonese; Karo; Bahasa Karo,0,0,3997
en_bua,Buryat,Cyrl,Asia,Буряад,,0,0,3976
en_bug,Buginese,Latn,Asia,basa Ugi,,0,0,3759
en_ccp-Latn,Chakma (Latin script),Latn,Asia,Changhma Bhach,,457,0,0
en_ce,Chechen,Cyrl,Europe,Нохчийн,,0,0,3997
en_cgg,Kiga,Latn,Africa,Kiga,Chiga; Orukiga; Rukiga; Ruchiga,66,863,4001
en_ch,Chamorro,Latn,Oceania,Finuʼ Chamoru,CHamoru,0,0,4001
en_chk,Chuukese,Latn,Oceania,Trukese,Trukese,0,0,3889
en_chm,Meadow Mari,Cyrl,Asia,олык марий,Eastern Mari,0,0,4001
en_ckb,Kurdish (Sorani),Arab,Asia,سۆرانی,Central Kurdish; Sorani,0,0,3986
en_cnh,Hakha Chin,Latn,Asia,Laica,Zomi; Laiholh; Lai,0,0,3999
en_crh,Crimean Tatar (Cyrillic script),Cyrl,Europe,Крымскотатарский,Crimean Tatar,0,0,3990
en_crh-Latn,Crimean Tatar (Latin script),Latn,Europe,qırımtatar tili,,0,0,3990
en_crs,Seychellois Creole,Latn,Africa,kreol seselwa,kreol; Seselwa Creole French,0,0,3989
en_ctg,Chittagonian,Beng,Asia,Chittagonian,,0,0,3996
en_cv,Chuvash,Cyrl,Europe,Чăваш,,0,0,3985
en_dhd,Dhundari,Deva,Asia,ढूंढाड़ी,,456,0,0
en_din,Dinka,Latn,Africa,Thuɔŋjäŋ,,66,863,4001
en_doi,Dogri,Deva,Asia,डोगरी,,454,0,3997
en_dov,Dombe,Latn,Africa,ChiDombe,Chidombe; Zambezi; Tonga,66,863,3998
en_dv,Dhivehi,Thaa,Asia,ދިވެހި,"Maldivian, Divehi",0,0,3973
en_dyu,Dyula,Latn,Africa,Julakan,Dioula; Jula,66,863,3997
en_dz,Dzongkha,Tibt,Asia,རྫོང་ཁ,Bhutanese,0,0,3997
en_ee,Ewe,Latn,Africa,Eʋegbe,,130,863,3990
en_efi,Efik,Latn,Africa,Usem mbom Efik; Ikɔ-efik,,66,863,4001
en_es,Spanish,Latn,Europe,"español, castellano",,0,863,3991
en_fa-AF,Dari,Arab,Asia,دری,Persian (Afghanistan),0,0,4000
en_ff,Fulani,Latn,Africa,Fulɓe; Fulfulde; Pular; Pulaar,Fulfulde; Fula; Fulah; Pular; Pulaar; Peul (French),260,862,3998
en_fj,Fijian,Latn,Oceania,Fiji; Fijian,Bauan,0,0,4001
en_fo,Faroese,Latn,Europe,Føroysk,,0,0,3999
en_fon,Fon,Latn,Africa,fongbē,,66,863,3998
en_fr,French,Latn,Europe,français,,0,0,3998
en_fr-CA,French (Canada),Latn,Americas,français canadien,,0,0,4001
en_fur,Friulian,Latn,Europe,Furlan,,0,0,3985
en_gaa,Ga,Latn,Africa,Gã,,66,863,4000
en_gn,Guarani,Latn,Americas,avañeʼẽ,,0,863,3991
en_gom,Goan Konkani,Deva,Asia,कोंकणी,,0,0,3999
en_grt-Latn,Garo (Latin script),Latn,Asia,A·chikku,,457,0,0
en_ha,Hausa,Latn,Africa,Hausa,,584,863,0
en_hi,Hindi,Deva,Asia,हिन्दी,,0,0,3984
en_hil,Hiligaynon,Latn,Asia,Hiligaynon,Ilonggo; Binisaya; Bisaya nga Hiniligaynon; Inilonggo,0,0,4001
en_hne,Chhattisgarhi,Deva,Asia,छत्तीसगढ़ी,,0,0,4000
en_hoc-Wara,Ho (Warang Chiti script),Wara,Asia,𑢹𑣉𑣉 𑣎𑣋𑣜,,457,0,0
en_hrx,Hunsrik,Latn,Americas,Hunsrik,Riograndenser Hunsrik,0,0,3932
en_iba,Iban,Latn,Asia,Iban,,0,0,3997
en_ig,Igbo,Latn,Africa,Asụsụ Igbo,,391,863,0
en_ilo,Ilocano,Latn,Asia,Iloko,Iloko; Ilokano,0,0,3993
en_iso,Isoko,Latn,Africa,Isoko,,0,0,4001
en_iu,Inuktut (Syllabics),Cans,Americas,ᐃᓄᒃᑎᑐᑦ,Inuktitut; Inuktut,0,0,3999
en_iu-Latn,Inuktut (Latin),Latn,Americas,Inuktitut,Inuktitut; Inuktut,0,0,4001
en_jam,Jamaican Patois,Latn,Americas,Patwa,Patois; Jamaican Creole English,0,0,3996
en_kaa,Karakalpak,Cyrl,Asia,Қарақалпақ; Қарақалпақша,Kara-Kalpak; Qaraqalpaq,0,0,3970
en_kac,Jingpo,Latn,Asia,Jinghpaw,Kachin; Jingpho; Jingphaw; Wunpawng,0,0,3941
en_kbd,East Circassian,Cyrl,Europe,Къэбэрдей; Адыгэ,Kabardian,0,0,3976
en_kek,Q'eqchi',Latn,Americas,Qʼeqchiʼ,Kekchi; Kekchi'; Kekchí,0,0,4001
en_kfy,Kumaoni,Deva,Asia,कुमाऊँनी,,457,0,0
en_kg,Kongo,Latn,Africa,Kikongo,Kikongo,66,863,3998
en_kha,Khasi,Latn,Asia,khasi,,0,0,4001
en_ki,Kikuyu,Latn,Africa,Gĩgĩkũyũ,Gikuyu,66,863,3994
en_kl,Kalaallisut,Latn,Americas,Kalaallisut,Greenlandic,0,863,3943
en_kr,Kanuri,Latn,Africa,Kànùrí,,66,863,4000
en_kri,Krio,Latn,Africa,Krio,,130,863,4020
en_kru,Kurukh,Deva,Asia,कुँड़ुख़,,457,0,0
en_ks,Kashmiri,Arab,Asia,كٲشُر,Koshur,0,863,4001
en_ks-Deva,Kashmiri (Devanagari script),Deva,Asia,कॉशुर,Koshur,0,863,4001
en_ktu,Kituba (DRC),Latn,Africa,Kituba,Kituba,66,863,3999
en_kv,Komi,Cyrl,Asia,Коми,Zyryan; Komi-Zyryan,0,0,3980
en_lep,Lepcha,Lepc,Asia,ᰛᰩᰵᰛᰧᰵᰶ‎,,456,0,0
en_lg,Luganda,Latn,Africa,Oluganda,Ganda,260,863,3998
en_li,Limburgish,Latn,Europe,Limburgs,Limburgian; Limburg; Limburgs,0,0,3999
en_lif-Limb,Limbu (Limbu script),Limb,Asia,ᤕᤠᤰᤌᤢᤱ ᤐᤠᤴ,,457,0,0
en_lij,Ligurian,Latn,Europe,Ligure,Genoese,0,0,3976
en_lmo,Lombard,Latn,Europe,lombard,,0,0,3983
en_ln,Lingala,Latn,Africa,Lingála,Ngala,260,863,3994
en_ltg,Latgalian,Latn,Europe,latgalīšu,,0,0,3984
en_lu,Kiluba (Luba-Katanga),Latn,Africa,Kiluba,Luba-Katanga; Luba; Tshiluba,66,863,0
en_lua,Tshiluba (Luba-Lulua),Latn,Africa,"Tshiluba, Ciluba","Luba-Kasai; Luba; Tshiluba; Cilubà; Tshilubà, Luba-Lulua",0,0,3998
en_luo,Luo,Latn,Africa,Luo,Dholuo,260,863,3941
en_lus,Mizo,Latn,Asia,Mizo ṭawng,,0,863,3998
en_mad,Madurese,Latn,Asia,Madurâ,,0,0,3999
en_mag,Magahi,Deva,Asia,मगही,,456,0,3997
en_mai,Maithili,Deva,Asia,मैथिली,,0,0,3989
en_mak,Makassar,Latn,Asia,Mangkasara,Makasar; Makassarese; Mangkasara; Macassar,0,0,3994
en_mam,Mam,Latn,Americas,Ta yol Mam,,0,0,3902
en_meo,Kedah Malay,Latn,Asia,Siti,Malay (Kedah),0,0,3995
en_mfe,Mauritian Creole,Latn,Africa,Morisien,Morisien; Morisyen,66,863,3997
en_mg,Malagasy,Latn,Africa,Fiteny malagasy,,391,863,0
en_mh,Marshallese,Latn,Oceania,Majol,Ebon,0,0,3977
en_min,Minang,Latn,Asia,Minangkabau,Minangkabau,0,0,3999
en_mjl,Mandeali,Deva,Asia,मण्डियाली,,457,0,0
en_mni-Mtei,Meiteilon (Manipuri),Mtei,Asia,ꯃꯤꯇꯩꯂꯣꯟ,"Meitei, Meetei, Meitheilon, Meeteilon",0,863,3923
en_mos,Mooré,Latn,Africa,Moaaga; Mòoré,Mossi; Moore; More; Mõore; Mossé,66,863,4000
en_ms-Arab,Malay (Jawi Script),Arab,Asia,ملايو,,0,0,4000
en_mtr,Mewari,Deva,Asia,मेवाड़ी,,457,0,0
en_mwr,Marwadi,Deva,Asia,मारवाड़ी,Marwari; Rajasthani,0,0,3999
en_nd,North Ndebele,Latn,Africa,IsiNdebele,Ndebele (North),66,863,3694
en_ndc,Ndau,Latn,Africa,Cindawu,,66,863,3991
en_ne,Nepali,Deva,Asia,नेपाली,,456,0,0
en_new,Nepalbhasa (Newari),Deva,Asia,नेवाः,Newari; Nepalbhasa; Nepal Bhasa; Newar,0,0,4001
en_nhe,Eastern Huasteca Nahuatl,Latn,Americas,Nahuatlajtoli Kuextekan ikisayo,Nahuatl (Eastern Huasteca),0,0,4000
en_noe,Nimadi,Deva,Asia,निमाड़ी,,315,0,0
en_nqo,NKo,Nkoo,Africa,ߓߡߊߣߊ߲ߞߊ߲,N'Ko,0,0,0
en_nr,South Ndebele,Latn,Africa,isiNdebele seSewula,Ndebele (South); Transvaal Ndebele; Southern Ndebele,66,863,4001
en_nso,Sepedi,Latn,Africa,Sepedi,Northern Sotho; Pedi,130,863,3996
en_nus,Nuer,Latn,Africa,Thok Naath,,0,0,4001
en_nv,Navajo,Latn,Americas,Diné; Naabeehó,Navaho; Diné,0,0,3992
en_ny,Chichewa,Latn,Africa,Chilankhulo cha Chichewa,,260,863,0
en_oc,Occitan,Latn,Europe,Occitan,Provençal,0,0,3998
en_om,Oromo,Latn,Africa,Afaan Oromoo,,391,863,3995
en_os,Ossetian,Cyrl,Europe,Ирон,Ossetic; Iron,0,0,3915
en_pa-Arab,Lahnda Punjabi (Pakistan),Arab,Asia,لہندا پنجابی,Punjabi (Lahnda); Punjabi (Western); Punjabi (India); Punjabi (Shahmukhi),0,863,4001
en_pag,Pangasinan,Latn,Asia,Pangasinan,Pangasinense,0,0,3994
en_pam,Kapampangan,Latn,Asia,Kapampangan,Pampango; Capampáñgan,0,0,3993
en_pap,Papiamento,Latn,Americas,Papiamento,Papiamento in Aruba; Papiamentu in Bonaire and Curaçao,0,0,4001
en_pcm,Nigerian Pidgin,Latn,Africa,"Naijá, Pidgin for Nigerian",Naija; Naijá; Pijin; Brokun; Broken,130,863,4001
en_pt-PT,Portuguese (Portugal),Latn,Europe,português,,0,0,3995
en_qu,Quechua,Latn,Americas,Runa Simi,,0,863,3861
en_quc,K'iche',Latn,Americas,K'iche',Quiche; Quiché,0,0,3992
en_rhg-Latn,Rohingya (Latin script),Latn,Asia,Ruháingga,Rohingya,0,0,3999
en_rn,Rundi,Latn,Africa,Ikirundi,Kirundi,66,863,3999
en_rom,Romani,Latn,Europe,Rromani ćhib,Romany; Romanes; Roma,0,0,3988
en_rw,Kinyarwanda,Latn,Africa,Ikinyarwanda,,260,863,0
en_sa,Sanskrit,Deva,Asia,संस्कृतम्,,0,863,3998
en_sah,Yakut,Cyrl,Europe,Саха,Sakha; Saxa; Saqa; Yakutian,0,0,3983
en_sat,Santali (Ol Chiki script),Olck,Asia,ᱥᱟᱱᱛᱟᱲᱤ,Santali; Santhali; Hor,0,863,4001
en_sat-Latn,Santali (Latin Script),Latn,Asia,Santali,Santali; Santhali; Hor,0,863,4000
en_scl,Shina,Arab,Asia,ݜݨیاٗ زبان,,457,0,0
en_scn,Sicilian,Latn,Europe,Sicilianu,,100,0,3997
en_sd-Deva,Sindhi (Devanagari script),Deva,Asia,सिन्धी,,456,0,0
en_se,Northern Sami,Latn,Europe,davvisámegiella,North Saami; North Sámi; Sami (North),0,0,3980
en_sg,Sango,Latn,Africa,Sango,,0,0,3994
en_sgj,Surgujia,Deva,Asia,सरगुजिया,,356,0,0
en_shn,Shan,Mymr,Asia,တႆး; လိၵ်ႈတႆး,Tai longe,0,0,4001
en_sjp,Surjapuri,Deva,Asia,सुरजापुरी‎,,299,0,0
en_skr,Saraiki,Arab,Asia,سرائیکی,Multani,0,0,4001
en_sn,Shona,Latn,Africa,ChiShona,,260,863,0
en_so,Somali,Latn,Africa,Af-Soomaali,,260,862,0
en_spv,Sambalpuri,Orya,Asia,ସମ୍ବଲପୁରୀ,,457,0,0
en_ss,Swati,Latn,Africa,Siswati,siSwati,66,863,3924
en_st,Sesotho,Latn,Africa,seSotho,,260,863,0
en_sus,Susu,Latn,Africa,Sosokhui,,66,863,4000
en_sw,Swahili,Latn,Africa,Kiswahili,Kiswahili,584,863,0
en_syl,Sylheti,Beng,Asia,সিলেটি,,0,0,4001
en_szl,Silesian,Latn,Europe,Ślůnski,,0,0,3997
en_tcy,Tulu,Knda,Asia,ತುಳು,,451,0,4000
en_tet,Tetum,Latn,Asia,Tetun,,0,0,4001
en_ti,Tigrinya,Ethi,Africa,ትግርኛ,Tigrigna,260,863,4000
en_tiv,Tiv,Latn,Africa,Tiv,,66,863,4001
en_tn,Tswana,Latn,Africa,Setswana,Batswana; Setswana,66,863,3995
en_to,Tonga (Tonga Islands),Latn,Oceania,Tonga,Tongan; Tonga; Lea Faka-Tonga,0,0,4001
en_tpi,Tok Pisin,Latn,Oceania,Tok Pisin,Papua New Guinea Pidgin,0,0,4001
en_trp,Kokborok,Latn,Asia,Kok Borok,Tripuri; Tiprakok; Kok Borok; Kókborok,457,0,3997
en_ts,Tsonga,Latn,Africa,Xitsonga,,66,863,3994
en_tum,Tumbuka,Latn,Africa,Chitumbuka,,66,863,3983
en_ty,Tahitian,Latn,Oceania,Reo Tahiti; Tahiti,,0,0,4001
en_tyv,Tuvan,Cyrl,Asia,тувинский,Tuvinian,0,0,3984
en_udm,Udmurt,Cyrl,Europe,Удмурт кыл,,0,0,3992
en_unr-Deva,Mundari (Devanagari script),Deva,Asia,मुंडारी,,457,0,0
en_ve,Venda,Latn,Africa,Tshivenḓa,Tshivenda; Luvenda; Bavenda,66,863,3984
en_vec,Venetian,Latn,Europe,Veneto,,0,0,4000
en_war,Waray (Philippines),Latn,Asia,Waray,Waray; Waray-Waray,0,0,3963
en_wbr,Wagdi,Deva,Asia,वाग्दी‎,,455,0,0
en_wo,Wolof,Latn,Africa,Wolof,,260,863,4001
en_xh,Xhosa,Latn,Africa,isiXhosa,,260,863,0
en_xnr,Kangri,Deva,Asia,कांगड़ी,,457,0,0
en_xsr-Tibt,Sherpa (Tibetan script),Tibt,Asia,ཤར་པའི་སྐད་ཡིག,,457,0,0
en_yo,Yoruba,Latn,Africa,Èdè Yorùbá,,584,863,0
en_yua,Yucatec Maya,Latn,Americas,Maayat'aan,Mayan; Yucateco,0,0,3959
en_yue,Cantonese,Hant,Asia,廣東話,Yue Chinese,584,863,4201
en_zap,Zapotec,Latn,Americas,Diidxazá,,0,0,3777
en_zu,Zulu,Latn,Africa,isiZulu,,260,863,0
en_zza,Zazaki,Latn,Asia,Zazakî,Zaza; Kurdish (Zazaki); Dimli,0,0,3978
sw_ar,Arabic,Arab,Asia,اللُّغَة العَرَبِيّة,Arabic (MSA); Arabic (Standard); Arabic (Fusha),330,0,0
sw_zh,Mandarin Chinese,Hans,Asia,汉语,,330,0,0
yue_en,English,Latn,Europe,English,,584,863,3983
yue_zh,Mandarin Chinese,Hans,Asia,汉语,,0,0,4201
yue_zh-Hant,Taiwanese Mandarin,Hant,Asia,中文（台灣）,,0,0,4201
zh-Hant_yue,Cantonese,Hant,Asia,廣東話,Yue Chinese,0,0,4031
zh_yue,Cantonese,Hant,Asia,廣東話,Yue Chinese,0,0,4031
